"","age","tl","sex"
"1",1,243,"F"
"2",1,247,"F"
"3",1,248,"M"
"4",2,330,"F"
"5",2,320,"F"
"6",2,285,"F"
"7",2,280,"F"
"8",2,265,"F"
"9",2,260,"F"
"10",2,248,"F"
"11",2,232,"F"
"12",2,218,"F"
"13",2,216,"F"
"14",2,200,"F"
"15",2,210,"M"
"16",2,225,"M"
"17",2,236,"M"
"18",2,240,"M"
"19",2,245,"M"
"20",2,255,"M"
"21",2,258,"M"
"22",2,263,"M"
"23",2,270,"M"
"24",2,292,"M"
"25",2,236,"M"
"26",2,240,"M"
"27",2,245,"M"
"28",2,255,"M"
"29",2,258,"M"
"30",2,255,"M"
"31",2,240,"M"
"32",2,255,"F"
"33",2,236,"F"
"34",2,248,"F"
"35",2,260,"F"
"36",2,258,"F"
"37",2,245,"F"
"38",3,396,"F"
"39",3,375,"F"
"40",3,360,"F"
"41",3,356,"F"
"42",3,352,"F"
"43",3,348,"F"
"44",3,342,"F"
"45",3,338,"F"
"46",3,334,"F"
"47",3,328,"F"
"48",3,219,"F"
"49",3,301,"F"
"50",3,294,"F"
"51",3,270,"F"
"52",3,267,"F"
"53",3,250,"F"
"54",3,246,"F"
"55",3,239,"F"
"56",3,252,"M"
"57",3,255,"M"
"58",3,258,"M"
"59",3,275,"M"
"60",3,313,"M"
"61",3,324,"M"
"62",3,346,"M"
"63",3,255,"M"
"64",3,258,"M"
"65",3,270,"F"
"66",3,342,"F"
"67",3,352,"F"
"68",3,356,"F"
"69",4,400,"F"
"70",4,382,"F"
"71",4,370,"F"
"72",4,365,"F"
"73",4,362,"F"
"74",4,350,"F"
"75",4,341,"F"
"76",4,338,"F"
"77",4,325,"F"
"78",4,315,"F"
"79",4,287,"F"
"80",4,281,"F"
"81",4,268,"F"
"82",4,330,"M"
"83",4,295,"M"
"84",4,270,"M"
"85",4,325,"F"
"86",4,362,"F"
"87",4,341,"F"
"88",5,445,"F"
"89",5,435,"F"
"90",5,433,"F"
"91",5,432,"F"
"92",5,426,"F"
"93",5,417,"F"
"94",5,412,"F"
"95",5,401,"F"
"96",5,398,"F"
"97",5,368,"F"
"98",5,350,"F"
"99",5,297,"F"
"100",5,290,"F"
"101",5,364,"M"
"102",5,361,"M"
"103",5,353,"M"
"104",5,345,"M"
"105",5,338,"M"
"106",5,332,"M"
"107",5,328,"M"
"108",5,327,"M"
"109",5,322,"M"
"110",5,320,"M"
"111",5,318,"M"
"112",5,315,"M"
"113",5,310,"M"
"114",5,287,"M"
"115",5,279,"M"
"116",5,364,"F"
"117",5,361,"F"
"118",5,353,"F"
"119",5,345,"F"
"120",5,338,"F"
"121",5,332,"F"
"122",5,328,"F"
"123",5,327,"F"
"124",5,322,"F"
"125",5,320,"F"
"126",5,318,"F"
"127",5,315,"F"
"128",5,310,"F"
"129",5,315,"M"
"130",5,327,"M"
"131",5,338,"M"
"132",5,353,"M"
"133",5,332,"M"
"134",5,433,"F"
"135",5,432,"F"
"136",5,426,"F"
"137",5,417,"F"
"138",5,412,"F"
"139",5,338,"F"
"140",5,332,"F"
"141",5,328,"F"
"142",5,327,"F"
"143",5,322,"F"
"144",5,353,"F"
"145",5,345,"F"
"146",5,338,"F"
"147",5,332,"F"
"148",5,328,"F"
"149",5,350,"F"
"150",5,401,"F"
"151",5,433,"F"
"152",6,409,"F"
"153",6,400,"F"
"154",6,394,"F"
"155",6,389,"F"
"156",6,377,"F"
"157",6,357,"F"
"158",6,351,"F"
"159",6,350,"F"
"160",6,338,"F"
"161",6,327,"F"
"162",6,318,"F"
"163",6,314,"F"
"164",6,301,"M"
"165",6,308,"M"
"166",6,312,"M"
"167",6,325,"M"
"168",6,326,"M"
"169",6,331,"M"
"170",6,337,"M"
"171",6,343,"M"
"172",6,345,"M"
"173",6,380,"M"
"174",6,430,"M"
"175",6,435,"M"
"176",6,343,"F"
"177",6,331,"F"
"178",6,394,"F"
"179",6,343,"M"
"180",6,326,"M"
"181",7,460,"F"
"182",7,443,"F"
"183",7,435,"F"
"184",7,429,"F"
"185",7,423,"F"
"186",7,408,"F"
"187",7,404,"F"
"188",7,395,"F"
"189",7,390,"F"
"190",7,386,"F"
"191",7,378,"F"
"192",7,370,"F"
"193",7,367,"F"
"194",7,361,"F"
"195",7,325,"F"
"196",7,304,"F"
"197",7,297,"F"
"198",7,272,"F"
"199",7,270,"M"
"200",7,292,"M"
"201",7,308,"M"
"202",7,315,"M"
"203",7,317,"M"
"204",7,319,"M"
"205",7,324,"M"
"206",7,330,"M"
"207",7,334,"M"
"208",7,337,"M"
"209",7,340,"M"
"210",7,344,"M"
"211",7,350,"M"
"212",7,352,"M"
"213",7,365,"M"
"214",7,372,"M"
"215",7,381,"M"
"216",7,317,"M"
"217",7,319,"M"
"218",7,324,"M"
"219",7,330,"M"
"220",7,334,"M"
"221",7,337,"M"
"222",7,340,"M"
"223",7,344,"M"
"224",7,350,"M"
"225",7,317,"F"
"226",7,319,"F"
"227",7,324,"F"
"228",7,330,"F"
"229",7,334,"F"
"230",7,337,"F"
"231",7,340,"F"
"232",7,344,"F"
"233",7,350,"F"
"234",7,361,"F"
"235",7,370,"F"
"236",7,378,"F"
"237",7,337,"F"
"238",8,439,"F"
"239",8,435,"F"
"240",8,428,"F"
"241",8,423,"F"
"242",8,415,"F"
"243",8,410,"F"
"244",8,392,"F"
"245",8,377,"F"
"246",8,358,"F"
"247",8,342,"F"
"248",8,340,"F"
"249",8,430,"M"
"250",8,400,"M"
"251",8,388,"M"
"252",8,371,"M"
"253",8,353,"M"
"254",8,346,"M"
"255",8,337,"M"
"256",8,335,"M"
"257",8,333,"M"
"258",8,322,"M"
"259",8,312,"M"
"260",8,305,"M"
"261",8,298,"M"
"262",8,290,"M"
"263",8,353,"F"
"264",8,346,"F"
"265",8,337,"F"
"266",8,335,"F"
"267",8,410,"F"
"268",8,423,"F"
"269",8,423,"F"
"270",8,428,"F"
"271",8,439,"F"
"272",8,335,"F"
"273",8,342,"F"
"274",8,423,"F"
"275",8,358,"F"
"276",9,496,"F"
"277",9,487,"F"
"278",9,475,"F"
"279",9,470,"F"
"280",9,468,"F"
"281",9,464,"F"
"282",9,460,"F"
"283",9,458,"F"
"284",9,448,"F"
"285",9,433,"F"
"286",9,427,"F"
"287",9,420,"F"
"288",9,414,"F"
"289",9,410,"F"
"290",9,394,"F"
"291",9,390,"F"
"292",9,386,"F"
"293",9,376,"F"
"294",9,352,"F"
"295",9,340,"F"
"296",9,328,"F"
"297",9,319,"F"
"298",9,462,"M"
"299",9,442,"M"
"300",9,427,"M"
"301",9,370,"M"
"302",9,363,"M"
"303",9,335,"M"
"304",9,325,"M"
"305",9,311,"M"
"306",9,302,"M"
"307",9,414,"F"
"308",9,386,"F"
"309",9,433,"F"
"310",9,468,"F"
"311",9,475,"F"
"312",9,390,"F"
"313",9,448,"F"
"314",9,420,"F"
"315",9,475,"F"
"316",9,340,"F"
"317",10,480,"F"
"318",10,327,"M"
